"repair_record_id","source_finding_key","rule","original_path","path","line","decision","before_sha256","after_sha256","lifecycle","status","release_gate"
"ADR-0001","unsourced-precise-number|05-内容生产/进行中/01-为了发第一篇公众号我先写了整套内容系统.md|16","unsourced-precise-number","05-内容生产/进行中/01-为了发第一篇公众号我先写了整套内容系统.md","05-内容生产/进行中/01-为了发第一篇公众号我先写了整套内容系统.md","16","removed-fabricated-story-or-qualified-proposed-parameter","BE98A7A3505D7BB9815C95D8149A7F9102233F14773D44FC29B5C7CEBCE2C351","8EBE3709167BC36C58C23FFB38A9E44CE5B75A2A371128E54E25759E6F9AF1C7","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0002","unsourced-precise-number|05-内容生产/进行中/02-执行力不是意志力问题.md|39","unsourced-precise-number","05-内容生产/进行中/02-执行力不是意志力问题.md","05-内容生产/进行中/02-执行力不是意志力问题.md","39","removed-fabricated-story-or-qualified-proposed-parameter","099C19A2CBEDBFEFC9CFD0E76A78FA45254C3A0A5102920E0A6EA9410910108E","ACA4DCBCEAA436137B883D5B610500F4F6592FB46C237373A307EAF4785B1BE2","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0003","unsourced-precise-number|05-内容生产/进行中/02-执行力不是意志力问题.md|51","unsourced-precise-number","05-内容生产/进行中/02-执行力不是意志力问题.md","05-内容生产/进行中/02-执行力不是意志力问题.md","51","removed-fabricated-story-or-qualified-proposed-parameter","099C19A2CBEDBFEFC9CFD0E76A78FA45254C3A0A5102920E0A6EA9410910108E","ACA4DCBCEAA436137B883D5B610500F4F6592FB46C237373A307EAF4785B1BE2","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0004","unsourced-precise-number|05-内容生产/进行中/02-执行力不是意志力问题.md|69","unsourced-precise-number","05-内容生产/进行中/02-执行力不是意志力问题.md","05-内容生产/进行中/02-执行力不是意志力问题.md","69","removed-fabricated-story-or-qualified-proposed-parameter","099C19A2CBEDBFEFC9CFD0E76A78FA45254C3A0A5102920E0A6EA9410910108E","ACA4DCBCEAA436137B883D5B610500F4F6592FB46C237373A307EAF4785B1BE2","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0005","unsourced-precise-number|05-内容生产/进行中/03-AI时代的学习是什么.md|17","unsourced-precise-number","05-内容生产/进行中/03-AI时代的学习是什么.md","05-内容生产/进行中/03-AI时代的学习是什么.md","17","removed-fabricated-story-or-qualified-proposed-parameter","E80C7A5D5C3FB95FCBFAFBF490B85361CA52D6F19EB18DEF375B8A63944BF98E","53B4FE276805031F15C977408B38D0223C5D8DCEA3EE52CF995C31CFC25B647B","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0006","unsourced-precise-number|05-内容生产/进行中/参考工具包_合并版.md|76","unsourced-precise-number","05-内容生产/进行中/参考工具包_合并版.md","05-内容生产/进行中/参考工具包_合并版.md","76","removed-fabricated-story-or-qualified-proposed-parameter","12AAE1CE02BF072B4C68FA7CB1AB5272FD258B0F15C7D8DF3114B8AC3E5E5051","6AC588B21164F773AEFB113AC6A3E3B15BBAD280B3FA842352F1080889D5A003","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0007","unsourced-precise-number|05-内容生产/进行中/参考工具包_合并版.md|81","unsourced-precise-number","05-内容生产/进行中/参考工具包_合并版.md","05-内容生产/进行中/参考工具包_合并版.md","81","removed-fabricated-story-or-qualified-proposed-parameter","12AAE1CE02BF072B4C68FA7CB1AB5272FD258B0F15C7D8DF3114B8AC3E5E5051","6AC588B21164F773AEFB113AC6A3E3B15BBAD280B3FA842352F1080889D5A003","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0008","unsourced-precise-number|05-内容生产/进行中/参考工具包_合并版.md|86","unsourced-precise-number","05-内容生产/进行中/参考工具包_合并版.md","05-内容生产/进行中/参考工具包_合并版.md","86","removed-fabricated-story-or-qualified-proposed-parameter","12AAE1CE02BF072B4C68FA7CB1AB5272FD258B0F15C7D8DF3114B8AC3E5E5051","6AC588B21164F773AEFB113AC6A3E3B15BBAD280B3FA842352F1080889D5A003","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0009","unsourced-precise-number|05-内容生产/进行中/运营工具包_合并版.md|30","unsourced-precise-number","05-内容生产/进行中/运营工具包_合并版.md","05-内容生产/进行中/运营工具包_合并版.md","30","removed-fabricated-story-or-qualified-proposed-parameter","3EA99BCF1DFB1F7A6A33B19CBF9764D5FCEE19E32725876BAE5509698D7C6B6D","ACC24FE54670CA4E95766FCA0C3A36725D4EB87A64CD6FADDDB8F25D01C45963","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0010","unsourced-precise-number|05-内容生产/进行中/运营工具包_合并版.md|31","unsourced-precise-number","05-内容生产/进行中/运营工具包_合并版.md","05-内容生产/进行中/运营工具包_合并版.md","31","removed-fabricated-story-or-qualified-proposed-parameter","3EA99BCF1DFB1F7A6A33B19CBF9764D5FCEE19E32725876BAE5509698D7C6B6D","ACC24FE54670CA4E95766FCA0C3A36725D4EB87A64CD6FADDDB8F25D01C45963","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0011","unsourced-precise-number|05-内容生产/进行中/运营工具包_合并版.md|32","unsourced-precise-number","05-内容生产/进行中/运营工具包_合并版.md","05-内容生产/进行中/运营工具包_合并版.md","32","removed-fabricated-story-or-qualified-proposed-parameter","3EA99BCF1DFB1F7A6A33B19CBF9764D5FCEE19E32725876BAE5509698D7C6B6D","ACC24FE54670CA4E95766FCA0C3A36725D4EB87A64CD6FADDDB8F25D01C45963","active","verified-resolved","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0012","unsourced-precise-number|05-内容生产/进行中/dopamine-choice/文章.md|35","unsourced-precise-number","05-内容生产/进行中/dopamine-choice/文章.md","90-归档/历史版本/content-quality-p0-20260719/05-内容生产/进行中/dopamine-choice/文章.md","35","removed-fabricated-story-or-qualified-proposed-parameter","8E0C1ED6871A284C7364A13D6CC5DA1F36B80D8BC775F122A24B226772640D9D","5158313A20C8CA557CA7140E5A50FA62A30AE49D7B341BE70230AF40472AF4F0","archived-after-fix","verified-resolved-and-archived","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0013","unsourced-precise-number|05-内容生产/进行中/game-skills/文章.md|47","unsourced-precise-number","05-内容生产/进行中/game-skills/文章.md","90-归档/历史版本/content-quality-p0-20260719/05-内容生产/进行中/game-skills/文章.md","47","removed-fabricated-story-or-qualified-proposed-parameter","73F6DC514EA508A35BB78E496DC5D3297B75651303CCCA76A3D919CB16B2ADFE","EA10FC1EEDE49B248135BD85AE4B0245E931005246DDDA110E09B5063468D2FB","archived-after-fix","verified-resolved-and-archived","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0014","unsourced-precise-number|05-内容生产/进行中/game-skills/文章.md|49","unsourced-precise-number","05-内容生产/进行中/game-skills/文章.md","90-归档/历史版本/content-quality-p0-20260719/05-内容生产/进行中/game-skills/文章.md","49","removed-fabricated-story-or-qualified-proposed-parameter","73F6DC514EA508A35BB78E496DC5D3297B75651303CCCA76A3D919CB16B2ADFE","EA10FC1EEDE49B248135BD85AE4B0245E931005246DDDA110E09B5063468D2FB","archived-after-fix","verified-resolved-and-archived","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
"ADR-0015","unsourced-precise-number|05-内容生产/进行中/game-skills/文章.md|64","unsourced-precise-number","05-内容生产/进行中/game-skills/文章.md","90-归档/历史版本/content-quality-p0-20260719/05-内容生产/进行中/game-skills/文章.md","64","removed-fabricated-story-or-qualified-proposed-parameter","73F6DC514EA508A35BB78E496DC5D3297B75651303CCCA76A3D919CB16B2ADFE","EA10FC1EEDE49B248135BD85AE4B0245E931005246DDDA110E09B5063468D2FB","archived-after-fix","verified-resolved-and-archived","真人经历必须由作者补入；目标和设计数值均为示例，不是已达成结果"
