"Source","Target"
".codex\skills\knowledge-base\assets\feishu-template.md","关联笔记2"
".codex\skills\knowledge-base\assets\note-template.md","控制回撤 > 多次小赢"
".codex\skills\knowledge-base\SKILL.md","双链"
"_alchemist\.codex\skills\knowledge-base\assets\feishu-template.md","关联笔记1"
"_alchemist\.codex\skills\knowledge-base\assets\note-template.md","控制回撤 > 多次小赢"
"_alchemist\.codex\skills\knowledge-base\SKILL.md","双链"
"_content-system\v2\00-规则层\RULES.md","文件名"
"_MOC_Cards.md","cards/C6-2_P0鍗曚竴涓荤嚎"
"_MOC_Content.md","knowledge-cards/card-蹇冩櫤甯﹀"
"_MOC_Flagship.md","media/flagship/book-v3/CH05_relationships"
"HOME.md","media/flagship/book-v6/FULL_MANUSCRIPT"
"media\wechat_2026-06-07\W45\W45_最小可行性系统.md","链接"
"notion\hui2737\ExportBlock-9d4e5a7f-95e8-4fea-b65b-d46ccd8db7f4-Part-1\私人与共享\迁移\世界与人生\系统崩溃诊断 b5003c54805d825b89728156870509ca.md","1"
"zettel\_模板-原子笔记.md","控制回撤 > 多次小赢"
