"claim_id","path","line","claim_text","domain","risk","source_type","source_location","scope","status","decision"
"MC-0001","01-项目/meta-abilities/自学.md","28","这就是学校出来的你面对的真实世界。学校是那个有妈妈在的厨房——课表告诉你这个学期学什么、每周几节课、考试考什么。你从六岁到十八岁被训练成了一个优秀的""课表执行者""。毕业那天你拿到一张完全空白的课表——世界说""你自己填""。你愣住了。十二年的教育没有教过你一件事：怎么自己设计课表。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0002","01-项目/meta-abilities/自学.md","40","大多数人的自学失败不是因为不够专注——是从来不给发散模式留时间。一整天坐在桌前硬啃，不散步、不洗澡、不睡觉——发散模式从来没有被激活过。Oakley称之为""Einstellung效应""——你在一个问题上卡住了，越想越卡，因为你被困在了同一个神经回路的循环里。唯一的解药是""走开一会儿""——让发散模式接手。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0003","01-项目/meta-abilities/自学.md","65","Young的元学习法则：在投入任何领域之前，先花总学习时间的10%研究""这个领域里最有效的人是怎么学的""。不看他们学了什么内容——看他们的学习策略。按什么顺序？用什么工具？怎么检验？放弃了什么？这10%的时间投入，在后面90%的学习时间里能收回十倍以上的效率。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0004","01-项目/meta-abilities/自学.md","85","考试结果：第二个人比他高30%。不是因为他更聪明——是因为他的大脑在每一次""费力提取""的时候都把对应的神经连接加固了一次。第一个人只是在反复刷""看起来很熟悉""的视觉信号。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0005","01-项目/meta-abilities/自学.md","96","Josh Waitzkin——国际象棋神童，11岁拿了全美冠军。后来转行打太极推手——又拿了世界冠军。两个完全不相关的领域，同一个人，两次达到世界顶级。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0006","01-项目/meta-abilities/自学.md","98","他在《学习的艺术》里揭示了一个反直觉的事实：顶尖学习者和普通人的区别不在天赋——在时间分配。普通人把90%时间花在舒适区（已经会的东西，练起来很舒服），9%花在恐慌区（完全不会，练两下就放弃），只有1%花在两者之间的""那道缝""里。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0007","01-项目/meta-abilities/自学.md","100","Waitzkin把90%时间花在那道缝里。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0008","01-项目/meta-abilities/自学.md","110","Ericsson最反直觉的结论：刻意练习每天的上限是4-5小时。超过这个时间——专注力不足以维持在""那道缝""里，你会滑回舒适区（做机械重复）。再多练只是在累积疲劳，不是在进步。这就是为什么顶级音乐学院的学生每天最多练4-5小时——不是他们不想多练，是多练没用。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0009","01-项目/meta-abilities/自学.md","124","那么问题来了：你手把手怎么找到自己的缝、怎么在里面待住、怎么知道自己确实在进步？先搞清楚你现在站在哪里。选任何一个你在练习的技能，从最简单的版本开始逐步增加难度。在每个难度停下来自评主观用力感——1分是完全不用脑，5分是需要用力但不焦虑，10分是想放弃。当你开始感到4到5分的那个难度，就是你的舒适区边界。边界以上一点，5到7分之间，就是那道缝。边界以上很多、8到10分，是恐慌区。把这个边界值记录下来——这就是你的起点。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0010","01-项目/meta-abilities/自学.md","126","接下来定义你要往哪里去。目标不是在终点线才叫成功——在当前缝的难度上连续完成3次，主观用力感稳定在4到7之间，且3次的质量波动不超过20%，就算达标。达标之后把难度往上调一级，进入新的缝。未达标就继续在当前缝驻留。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0011","01-项目/meta-abilities/自学.md","128","问题是大多数人卡在哪一步？差距通常不是""不够努力""，而是缝里待的时间不够。检查你过去一周的练习日志：缝内练习时间占总练习时间的比例是多少？如果低于50%，你就是在逃避缝，退回舒适区。具体的每日操作很简单：先花两分钟做边界测试定位今天的缝，然后用80%的练习时间只在缝里练。每练一次自评用力感——低于4分就加难度，高于7分就减难度，4到7分之间就保持。练完记录缝内完成率和质量波动。每周做一次边界测试，看看舒适区边界有没有往前挪——连续两周边界没动，要么缝内练习时间不足，要么难度调太高了。当你能连续一周在""上个月会让你想放弃""的难度上完成练习，且主观用力感降到5分以下，就说明你已经把曾经的缝变成了新的舒适区——接下来进入下一轮循环。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0012","01-项目/meta-abilities/自学.md","141","格栅模型的三条筛选标准：(1)来自硬科学或经过大量实证验证的领域；(2)足够底层，能跨域迁移——在完全不相关的领域也能用；(3)模型之间互相校准——如果两个模型对同一个问题得出矛盾结论，说明至少一个被误用了。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0013","01-项目/meta-abilities/自学.md","157","每周学一个新概念——不限于你的领域。然后花30分钟强迫连接：这个概念和我已经会的X模型有什么共同结构？比如""自然选择（变异→选择→保留）""和""写作选题策略""有什么共同结构？变异=尝试不同角度。选择=读者数据告诉你哪个角度有效。保留=把有效角度固定为模板。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-blocked","block"
"MC-0014","01-项目/meta-abilities/自学.md","174","**第四步：教给一个完全不懂的人。** 不是教给同行——教给12岁小孩。你能让他听懂=你真懂了。他某个地方露出困惑的表情=那个地方你该回去重学。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0015","01-项目/meta-abilities/自学.md","186","Feynman后来说这是他学到的关于知识最重要的一课——""知道名字""和""知道东西""是两件完全不同的事。大多数人的自学停在了""知道名字""——能说出概念、引用作者原话、聊天时抛术语。但让他们用自己的话说——说不出来。让他们举非书上的例子——举不出来。让他们教小孩——教不了。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0016","01-项目/meta-abilities/自学.md","197","**注意力**：大脑每秒接收几百万比特的感官信息，但只有几十比特能进入意识。注意力就是""选哪几十比特""的过滤器。没有注意力=信息根本没进入加工通道。这就是为什么被动听讲效率低——你的注意力可能只捕捉到了10%的信息。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0017","01-项目/meta-abilities/自学.md","220","Newport建议把""学习新领域""安排在每天的深度时间块里——那两小时已经保护好了，没有通知、没有打断、前额叶全功率在线。同样一小时的学习——深度时间块里的效果是被打断状态下的3倍以上。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0018","01-项目/meta-abilities/自学.md","224","不要把自学安排在""有空的时候""——那个时间永远不会来。把它固定在每天深度时间块的头一小时。每天八点到九点——手机在另一个房间，电脑断网——只做一件事：学。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0019","01-项目/meta-abilities/自学.md","230","**元学习日志5分钟**：今天学了什么概念→什么路径→在哪卡住了→卡住后怎么处理的。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-blocked","block"
"MC-0020","01-项目/meta-abilities/自学.md","231","**间隔检索5分钟**：合上所有资料，白纸画出今天的因果链图。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-blocked","block"
"MC-0021","01-项目/meta-abilities/自学.md","232","**碎片输出20分钟**：用自己的话写300字——今天学到的最核心的一件事。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-blocked","block"
"MC-0022","01-项目/meta-abilities/自学.md","235","**跨域强制连接30分钟**：本周新概念+一个已有旧概念——找共同结构。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-blocked","block"
"MC-0023","01-项目/meta-abilities/自学.md","236","**费曼讲述30分钟**：对镜子或录音机——用完全不接触的人能听懂的白话讲本周核心概念。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0024","01-项目/meta-abilities/自学.md","250","对12岁小孩讲清楚完整因果链。对方问""什么意思""的地方=你没懂的地方。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0025","01-项目/meta-abilities/自学.md","270","Lembke的建议——在每天学习之前安排至少30分钟的""低多巴胺窗口""。不碰屏幕、不听音乐、不摄入精制糖。让受体在这30分钟里从之前的高刺激中回落到基线水平。然后开始学习——此时受体敏感度最高，学习材料释放的多巴胺足以触发""想做""的驱动力。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0026","01-项目/meta-abilities/自学.md","273","每天在学习之前——从醒来到打开第一本书/文档之间，至少30分钟不碰屏幕。晨光+散步+早餐=受体回落。30分钟后打开学习材料——你会注意到""想学""的感觉比平时更清晰。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0027","01-项目/meta-abilities/自学.md","280","□ **L1 元学习习惯**：在接触任何新领域前，花10%时间研究""怎么学""，不直接开始学内容。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0028","01-项目/meta-abilities/自学.md","282","□ **L2 舒适区边缘驻留**：每次学习能识别""我是在舒适区重复还是在边缘修正""。如果90%时间在舒适区——回到边缘。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0029","01-项目/meta-abilities/自学.md","292","□ **L7 专注-发散切换**：每25分钟专注+5分钟发散。不发散的学习=低效学习。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0030","01-项目/meta-abilities/自学.md","294","□ **L8 深度工作保护**：每天固定2小时深度时间块——手机在另一个房间、电脑断网。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0031","01-项目/meta-abilities/自学.md","296","□ **L9 多巴胺管理**：学习前30分钟低多巴胺窗口。每周一天低刺激日——让受体上调。","medical-health","P0","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
"MC-0032","01-项目/meta-abilities/自学.md","307","每完成一次闭环——你的格栅密度增加一层，自学的""带宽""变宽一次。第五个领域的学习速度是第一个领域的3-5倍——不是因为你更聪明了，是因为你的格栅里有了更多可以和新知识连接的概念模块。新知识不再需要从零开始建底座——它可以直接搭在已有模块上。","learning-behavior","P1","unverified-secondary-note","unknown","blocked-chapter-source","resolved-qualified","qualify"
