Model Name,Anti-Use,Created,Failure Modes,Last Verified,Leverage Type,Linked Questions,Model Type,Reuse Count,Steps,When to Use
【费里斯宝典】专题三：最小有效剂量（MED）与反忙碌哲学,,2026年5月15日 12:15,,,,,Learning,0,,
【格雷厄姆宝典】专题二：创作者作息与“做不规模化的事”,,2026年5月15日 12:15,用管理者作息切碎Maker时间；把社交当推进；追求规模化曝光跳过对话；只优化系统不做作品,2026年3月27日,,,Learning,0,"1) 保护Maker时间块（连续≥90min）
2) 每天只推进一个可见交付（草稿/代码/模板）
3) 做不规模化的事：找3个真实用户对话
4) 用反馈改下一次交付
5) 避免会议/碎片化侵蚀",需要进入深度工作/创造者作息；内容或产品冷启动；想用“少数高质量对话”替代规模化曝光
【富兰克林宝典】专题二：《穷理查年鉴》与财富自由的常识,,2026年5月15日 12:15,,,,,Investment,0,,
草稿：饮食系统｜宏量周期化 + 菌群稳定（执行版）,,2026年5月15日 12:15,(草稿) 空白页：未验证、不可调用；需先做7天饮食实验再补齐。,2026年3月27日,,,Training,0,(草稿),(草稿) 未来用于：需要宏量周期化/肠道稳定时。当前未成型，不进入正式调用。
【格雷厄姆宝典】专题一：财富的本质与致富双条件,,2026年5月15日 12:15,,,,,Investment,0,,
【乔布斯宝典】专题三：连点成线与向死而生（直觉决策）,,2026年5月15日 12:15,,,,,Decision,0,,
【量化宝典】专题一：詹姆斯·西蒙斯与文艺复兴（数据驱动）,,2026年5月15日 12:15,,,,,Investment,0,,
【赫拉利宝典】专题三：数据主义、可骇入动物与内观防御,,2026年5月15日 12:15,把算法当中立工具→被动被喂；只靠自律不改环境→必败；把内观变成玄学长文→膨胀；低刺激时段被破坏→节律崩,2026年3月27日,,,Learning,0,"1) 先承认可被骇入：不要用意志力硬抗
2) 环境防火墙：手机物理隔离+禁信息流窗口外使用
3) 内观锚点：每天60秒识别“我在逃避什么”
4) 低刺激恢复：睡前30分钟只允许书/日记/放空
5) 每周审计：哪些应用/内容在劫持→删除/限制",注意力被算法劫持/刷屏成瘾；需要建立“内观+环境防火墙”；想做低刺激恢复时段的规则
【塔勒布宝典】专题二：反脆弱与杠铃策略,当你无法建立保守底座（现金流/健康/时间）时，先补底座再谈杠铃；或当期权端无法控制成本时禁用。,2026年5月15日 12:15,把中等风险当安全；期权端变赌博（成本不封顶）；缺少保守底座导致一次波动出局；把杠铃当“确定收益计划”。,2026年5月9日,,,Investment,0,"1) 判对象：脆弱/坚韧/反脆弱
2) 杠铃分配：大比例保守底座 + 小比例高上行期权端
3) 期权端做微实验：成本确定、上行不封顶
4) 迭代保留有效（进化式）
5) 定期清空中间地带（中等风险陷阱）",用于在不确定中做资源分配（投资/职业/内容）：希望获得上行空间同时把下行锁死；适合“试错型成长”与“可选性”策略设计。
富兰克林｜务实复利引擎（美德×节俭×通才）,不适合道德自责或完美主义惩罚；美德追踪只能暴露盲点，不能制造羞耻。,2026年5月15日 12:15,一次改 13 项；打卡变自责；节俭变吝啬；通才变浅尝辄止；只学习不产出；社交变低质量热闹。,2026年5月10日,Media,,Training,0,"1) 每周只追踪1个行为变量
2) 记录黑点而非自责
3) 删除无益花费
4) 每日做一个可交付物
5) 建小型高质量互助圈",行为审计、个人纪律、现金流防线、知识复利、社群建设、现实交付时。把抽象品德改成可追踪规则，把思想落到可交付物。
【马斯克宝典】专题一：第一性原理与物理学框架,,2026年5月15日 12:15,,,,,Learning,0,,
