"claim_id","path","line","claim_text","risk","source_status","status","decision"
"BOLA-001","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","20","**承担责任**: 派克写道: ""唯一的办法——我们应该勇敢地说：'这是我的问题，要由我来解决！'""——这不是道德说教,是经济学。如果你把问题的所有权交给别人(老板/伴侣/社会/命运),你也把解决它的权力交给了别人。别人为什么要优先解决你的问题?他们有自己的问题要解决。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-002","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","52","**操作练习**: 写下你当前最强烈的3个自卑感(具体到""我不敢在XX场合发言""而不是""我社交能力差"")。对每个自卑感问: 如果这种不足感必须转化为一种优势,它会是什么?例如""不敢发言""→你对语言的敏感度比爱说话的人更高,因为你每次开口都已经在心里预演过5遍。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-003","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","65","99%的人际关系痛苦来自一件事: **你在别人的课题里上班**。别人怎么看你(同事/朋友/父母/陌生网友)——是别人的课题。你为了管理""别人怎么看你""而扭曲自己的行为和判断——这叫擅自加班,且无薪。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-004","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","67","但课题分离不是冷漠。岸见一郎在与古贺史健的对谈中明确说: 课题分离是对人关系的起点,最终目标是""協力""(合作)。分离是为了让你有足够的心理空间去理解对方——""理解することと賛成することはまったく別""(理解与赞成是完全不同的两件事)。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-005","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","80","弗洛伊德发明了精神分析,但商业模式锁死了它: 必须有一个分析师坐在你对面(50分钟/次,每周3-5次,持续数年)。阿德勒和荣格都从这里出走——因为他们看到精神分析的核心洞察不需要商业化的分析师,而需要一套**自我提问的训练**。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-006","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","85","防御机制不是你的敌人——是你的""心理免疫系统""。问题不是你有防御机制,而是你不知道它们在什么时候启动了。常见防御机制速查:","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-007","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","88","- **反向形成**(你表现出与真实感受完全相反的行为): 对某个人极度礼貌→实际上你极其厌恶他。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-008","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","90","识别规则: 当你的解释让你""感觉良好且不需要行动""时→99%是防御机制在工作。真正有效的解释会让你""不舒服但知道下一步该做什么""。","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-009","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","93","回溯你过去5年的5个重大决定(辞职/分手/搬家/放弃某件事/开始某件事)。对每个决定问:","P0","unverified-in-current-edition","resolved-archived","block"
"BOLA-010","08-媒体与产品/媒体/flagship/book-of-life-answers/CH02_ANTIFRAGILE_PSYCHE.md","96","3. 这5个决定的""害怕模式""有共同点吗?","P0","unverified-in-current-edition","resolved-archived","block"
