"path","size_bytes","score","severity","current_status","target_status","canonical_path","action","claim_ledger","verification_status","final_path","verification_evidence","remaining_blocker","verified_at"
"01-项目/meta-abilities/元能力--崭新之日理论篇.md","311653","26","P0","unclassified-active","archived-snapshot","01-项目/meta-abilities/元能力个人操作系统.md","archive-after-hash-map","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-archived","90-归档/历史版本/content-quality-p0-20260718/01-项目/meta-abilities/元能力--崭新之日理论篇.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","","2026-07-18"
"01-项目/meta-abilities/戒断.md","31153","28","P0","unclassified-active","blocked-health-draft","01-项目/meta-abilities/戒断.md","source-audit-and-qualify","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-blocked-target-state","01-项目/meta-abilities/戒断.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/自我精神分析.md","35259","30","P0","unclassified-active","blocked-psychology-draft","01-项目/meta-abilities/自我精神分析.md","source-audit-and-qualify","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-blocked-target-state","01-项目/meta-abilities/自我精神分析.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/健康.md","34235","31","P0","unclassified-active","blocked-health-draft","01-项目/meta-abilities/健康.md","source-audit-and-qualify","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-blocked-target-state","01-项目/meta-abilities/健康.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/专注_元认知_系统_创造力_情绪.md","44208","32","P1","unclassified-active","chapter-source","01-项目/meta-abilities/专注_元认知_系统_创造力_情绪.md","split-and-deduplicate","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-archived","90-归档/历史版本/content-quality-p0-20260718/01-项目/meta-abilities/专注_元认知_系统_创造力_情绪.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/元能力个人操作系统.md","384672","34","P0","unclassified-active","generated-compendium","01-项目/meta-abilities/元能力个人操作系统.md","regenerate-from-chapter-sources","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/元能力个人操作系统.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/统计.md","34498","37","P1","unclassified-active","chapter-source","01-项目/meta-abilities/统计.md","source-audit-and-restructure","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/统计.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/逻辑.md","35289","39","P1","unclassified-active","chapter-source","01-项目/meta-abilities/逻辑.md","source-audit-and-restructure","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/逻辑.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/决策.md","29640","40","P1","unclassified-active","chapter-source","01-项目/meta-abilities/决策.md","remove-false-precision","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/决策.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/自学.md","46735","41","P1","unclassified-active","chapter-source","01-项目/meta-abilities/自学.md","source-audit-and-reorder","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/自学.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/执行.md","32247","42","P1","unclassified-active","chapter-source","01-项目/meta-abilities/执行.md","deduplicate-protocols","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/执行.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/说服.md","23781","43","P1","unclassified-active","chapter-source","01-项目/meta-abilities/说服.md","trace-experiment-data","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/说服.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
"01-项目/meta-abilities/写作.md","34838","46","P1","unclassified-active","chapter-source","01-项目/meta-abilities/写作.md","reduce-template-language","99-系统/元数据/inventory/META_ABILITIES_CLAIM_LEDGER_2026-07-17.csv","verified-target-state","01-项目/meta-abilities/写作.md","99-系统/元数据/inventory/META_ABILITIES_CLAIM_REMEDIATION_REPORT_2026-07-18.md","主张台账仍有 blocked 项；补齐可定位来源前禁止发布","2026-07-18"
