"claim_id","path","line","claim_text","domain","risk","source_type","source_location","scope","status","decision"
"MC-0001","01-项目/meta-abilities/自学.md","40","持续卡在同一种解法时，短暂离开、换表征或请人反馈都可能有帮助。Einstellung 效应描述既有思路妨碍新解法，但“困在同一神经回路”和“走开是唯一解药”都超出了本章证据。","medical-health","P0","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0002","01-项目/meta-abilities/自学.md","143","每周学一个新概念——不限于你的领域。然后花30分钟强迫连接：这个概念和我已经会的X模型有什么共同结构？比如""自然选择（变异→选择→保留）""和""写作选题策略""有什么共同结构？变异=尝试不同角度。选择=读者数据告诉你哪个角度有效。保留=把有效角度固定为模板。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0003","01-项目/meta-abilities/自学.md","185","**主动参与**：写、讲、做题和应用能提供检索与反馈机会。被动接收并非完全无效，本章也不把学习写成前额叶与海马体同时激活的必要条件。","medical-health","P0","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0004","01-项目/meta-abilities/自学.md","216","**元学习日志5分钟**：今天学了什么概念→什么路径→在哪卡住了→卡住后怎么处理的。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0005","01-项目/meta-abilities/自学.md","217","**间隔检索5分钟**：合上所有资料，白纸画出今天的因果链图。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0006","01-项目/meta-abilities/自学.md","218","**碎片输出20分钟**：用自己的话写300字——今天学到的最核心的一件事。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0007","01-项目/meta-abilities/自学.md","221","**跨域强制连接30分钟**：本周新概念+一个已有旧概念——找共同结构。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0008","01-项目/meta-abilities/自学.md","222","**费曼讲述30分钟**：对镜子或录音机，用目标听众能理解的语言讲本周核心概念。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0009","01-项目/meta-abilities/自学.md","334","Ericsson 的研究不支持“练满固定小时就必然成为专家”。达到高水平所需时间取决于领域、起点、反馈、资源和评价标准，本章不保留几百、几万小时等无定位数字。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0010","01-项目/meta-abilities/自学.md","363","Willingham 的教学启示是区分“呈现过”与“学生能够提取和应用”。用自己的话解释、迁移到新情境和寻找反例，都是可用检查，但不是学习的唯一标准。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0011","01-项目/meta-abilities/自学.md","390","**反复阅读**：可能增加熟悉感，但需要用闭卷提取或应用任务检查是否能够调用。熟悉不等于理解，也不等于完全没有学习。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0012","01-项目/meta-abilities/自学.md","407","**Day 1·元学习（2小时）**：不学内容。研究这个领域最有效的人是怎么学的。找到3个""过来人""的经验——提取他们的学习策略、顺序、工具、检验方式。画自己的学习地图。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0013","01-项目/meta-abilities/自学.md","409","**Day 2-3·非结构化探索（每天2-3小时）**：按自己的问题链（不是课表）往下挖。允许偏题。偏题通常是你真正在学的起点。每25分钟专注+5分钟发散切换。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0014","01-项目/meta-abilities/自学.md","411","**Day 4·第一次合成（2小时）**：合上所有资料。白纸默写这两天的因果链。留空的地方=理解空白。标记。不急着填补——先看清自己的理解缺口在哪。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0015","01-项目/meta-abilities/自学.md","413","**Day 5·填补空白（2-3小时）**：针对留空的地方——定向回到资料中找答案。不是重新读一遍——是""带着问题去查""。每一个空白填补后立即用自己的话写一遍。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0016","01-项目/meta-abilities/自学.md","415","**Day 6·第二次合成（2小时）**：再次合上所有资料。白纸重新画完整的因果链图。和Day 4的图比较——哪些空白被填上了，哪些还在。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0017","01-项目/meta-abilities/自学.md","417","**Day 7·费曼输出（3小时）**：写一篇完整文章或录一段讲解。规则——不用任何术语，用自己生活中的例子，在某个地方标注""我不确定的是……""这是暴露最深理解空白的最后一道检验。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0018","01-项目/meta-abilities/自学.md","420","把Day 7的输出讲给一个完全不接触这个领域的人听。观察对方在哪个地方露出困惑表情——标记。那个地方不是你""没讲好""——是你自己还没真懂。回去重新挖那个节点。费曼验证=学习的最终闭环——教给别人是检验自己理解的唯一诚实方式。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0019","01-项目/meta-abilities/自学.md","426","元学习笔记5分钟+间隔检索5分钟（白纸默写因果链）+碎片输出20分钟（300字用自己的话写今天最核心的一件事）。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0020","01-项目/meta-abilities/自学.md","429","跨域强制连接30分钟（本周新概念+一个已有旧概念找共同结构）+费曼讲述30分钟（对镜子或录音机用白话讲本周核心概念）。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0021","01-项目/meta-abilities/自学.md","432","费曼长文（选本月核心概念写完整论述——不用术语、只用自己例子、标不确定处）+学习策略审计（本月在舒适区/边缘/恐慌区的时间比例——边缘应≥70%）。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
"MC-0022","01-项目/meta-abilities/自学.md","449","**机制一：Scott Young的元学习前置——10%时间法则的精确操作。** Young在MIT挑战中最反直觉的操作不是""学得更快""——是""在学之前先不学""。他用整整一周做""元学习""：找到三个之前完成过类似挑战的人，问他们五个问题——按什么顺序学的、每天几小时、哪门最浪费时间、怎么检验自己真懂假懂、如果重来会跳过什么。三份回答画成地图后他才打开课本。这10%的前置时间投入在后续90%的学习中收回十倍效率——因为他在前10%时间里排除了三个过来人验证过的""死路""。大多数人的自学失败在第一周——看到一个新领域，第一反应是""报班""或""买本书从头读到尾""。他们把""怎么学""的决定外包给了培训机构的课程大纲——而培训机构的目标不是让你""学得最快""，是让你""交钱后觉得自己在学""。Young的元学习法则的具体操作：在打开任何课本之前，花一到两天找三个""在这个领域学得很有效的人""（不一定是专家，可以是比你早学半年的人），问他们上面五个问题。把答案整理成一个不超过一页的学习路径。这个路径不需要完美——它只需要比""从第一页读到最后一页""好。好10%就行——10%的路径优势，在90%的执行时间里被放大为几倍的效率。","learning-behavior","P1","unverified-secondary-note","","blocked-chapter-source","open","block"
