"source_id","path","source_type","author","status","notes"
"SRC-MISC-001","完整副本/答案之书_v7/_feishu_chapter_links.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-002","完整副本/答案之书_v7/30DAY_PLAN.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-003","完整副本/答案之书_v7/ACTION_MASTERLIST.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-004","完整副本/答案之书_v7/CH01_meta-abilities.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-005","完整副本/答案之书_v7/CH02_mental-health.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-006","完整副本/答案之书_v7/CH03_physical-health.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-007","完整副本/答案之书_v7/CH04_wealth-business.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-008","完整副本/答案之书_v7/CH05_relationships.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-009","完整副本/答案之书_v7/CH06_top-humans.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-010","完整副本/答案之书_v7/CH07_problem-solving.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-011","完整副本/答案之书_v7/CH08_first-principles.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-012","完整副本/答案之书_v7/CONCEPT_MAP.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-013","完整副本/答案之书_v7/CROSS_CHAPTER_INDEX.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-014","完整副本/答案之书_v7/CUT_LOG.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-015","完整副本/答案之书_v7/DELETION_LEDGER.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-016","完整副本/答案之书_v7/DOD_AUDIT.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-017","完整副本/答案之书_v7/EIGHT_CHAPTERS.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-018","完整副本/答案之书_v7/ENGLISH_ABSTRACTS.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-019","完整副本/答案之书_v7/EPILOGUE.md","未分类素材","待补","候选","脚本生成，待人工确认"
