"prior_finding_id","rule","path","line","decision","before_sha256","after_sha256","status","release_gate"
"P1-0002","unsourced-precise-number","04-知识/方法论/健康管理/健康进阶研究地图.md","52","removed-or-qualified-unverified-precision","4DEA79E456A35CBACFB8FF63C93BECAEE17A1B33A5A26C453057C9D4F896C6C7","A38EF60E9E309A55E10606FEA302240B996902D957C6DA3E85B68CEEE1679EC3","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0004","unsourced-precise-number","04-知识/卡片/C1-2_饮食决策框架.md","38","removed-or-qualified-unverified-precision","BD904FDAE8E9601F47CBAD151F46C0CCA9F647FF8783C59C94DA1425EB0FD946","29300AFF15689D9F4F3D6EA8BF337C2E21D9CE8C4D3D8163ACA75422B00B3F6E","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0005","unsourced-precise-number","04-知识/卡片/C1-2_饮食决策框架.md","71","removed-or-qualified-unverified-precision","BD904FDAE8E9601F47CBAD151F46C0CCA9F647FF8783C59C94DA1425EB0FD946","29300AFF15689D9F4F3D6EA8BF337C2E21D9CE8C4D3D8163ACA75422B00B3F6E","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0006","unsourced-precise-number","04-知识/卡片/C1-3_昼夜节律重建.md","47","removed-or-qualified-unverified-precision","C0277044038373940CF73A36846DFDD78712960BBBEB478D94CEDDF39F150FB4","DD4EB06DF6EF76282F182EC7BFE53BDA5F23DC5F85F9CD3E3A33249DAED525BC","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0007","unsourced-precise-number","04-知识/卡片/C1-3_昼夜节律重建.md","48","removed-or-qualified-unverified-precision","C0277044038373940CF73A36846DFDD78712960BBBEB478D94CEDDF39F150FB4","DD4EB06DF6EF76282F182EC7BFE53BDA5F23DC5F85F9CD3E3A33249DAED525BC","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0008","unsourced-precise-number","04-知识/卡片/C1-3_昼夜节律重建.md","73","removed-or-qualified-unverified-precision","C0277044038373940CF73A36846DFDD78712960BBBEB478D94CEDDF39F150FB4","DD4EB06DF6EF76282F182EC7BFE53BDA5F23DC5F85F9CD3E3A33249DAED525BC","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0009","unsourced-precise-number","04-知识/卡片/C1-3_昼夜节律重建.md","75","removed-or-qualified-unverified-precision","C0277044038373940CF73A36846DFDD78712960BBBEB478D94CEDDF39F150FB4","DD4EB06DF6EF76282F182EC7BFE53BDA5F23DC5F85F9CD3E3A33249DAED525BC","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0010","unsourced-precise-number","04-知识/卡片/C1-3_昼夜节律重建.md","92","removed-or-qualified-unverified-precision","C0277044038373940CF73A36846DFDD78712960BBBEB478D94CEDDF39F150FB4","DD4EB06DF6EF76282F182EC7BFE53BDA5F23DC5F85F9CD3E3A33249DAED525BC","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0011","unsourced-precise-number","04-知识/卡片/C1-4_成瘾不是意志力问题.md","57","removed-or-qualified-unverified-precision","3734033550B95482499651DFDFBFCD59357752A4E2B30ABC1BADABE88380635E","7E7B7E1343EAA657B61A3BC28568215F63E7DEA3D77F98437FD7E70CAA25C687","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0012","unsourced-precise-number","04-知识/卡片/C1-5_睡眠不是休息.md","33","removed-or-qualified-unverified-precision","FF4EE2C0C349DE9D990860780C227D05AEB2BDFA860606A8048DC97DEFB6CAA0","C9CFED92EAC4A2B1E7C4CE5BF97B0AC6305EDF3904895302DF4D0306F0D13692","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0013","unsourced-precise-number","04-知识/卡片/C1-5_睡眠不是休息.md","37","removed-or-qualified-unverified-precision","FF4EE2C0C349DE9D990860780C227D05AEB2BDFA860606A8048DC97DEFB6CAA0","C9CFED92EAC4A2B1E7C4CE5BF97B0AC6305EDF3904895302DF4D0306F0D13692","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0014","unsourced-precise-number","04-知识/卡片/C1-5_睡眠不是休息.md","58","removed-or-qualified-unverified-precision","FF4EE2C0C349DE9D990860780C227D05AEB2BDFA860606A8048DC97DEFB6CAA0","C9CFED92EAC4A2B1E7C4CE5BF97B0AC6305EDF3904895302DF4D0306F0D13692","verified-resolved","no unsupported precise health claim remains at this line"
"P1-0015","unsourced-precise-number","04-知识/卡片/C1-5_睡眠不是休息.md","60","removed-or-qualified-unverified-precision","FF4EE2C0C349DE9D990860780C227D05AEB2BDFA860606A8048DC97DEFB6CAA0","C9CFED92EAC4A2B1E7C4CE5BF97B0AC6305EDF3904895302DF4D0306F0D13692","verified-resolved","no unsupported precise health claim remains at this line"
