"path","exists","action","contains_value"
"99-系统/集成/notion-archive/hui2737/ExportBlock-9d4e5a7f-95e8-4fea-b65b-d46ccd8db7f4-Part-1/私人与共享/迁移/人生OS v2 0/用户画像背景 10703c54805d82349b358171b5bb6044.md","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/feishu_sync.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/test_feishu.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/元数据/ds-optimization/config.toml","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/元数据/prompts/PROMPT_CONTENT_SURGEON_v2_DONGHUI.md","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_batch2.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_batch3.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_extract_top.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_extract_v2.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_highlights.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
"99-系统/脚本/legacy-meta/one-off-2026-07-15/weread_test.py","True","exclude-from-staging-until-rotated-and-redacted","not-recorded"
