"File","Quote"
"D01_AI时代独立思考的价值.md","所有人都在调用同一个大脑"
"D01_AI时代独立思考的价值.md","独立得出不同结论的心理成本变得更高"
"D01_AI时代独立思考的价值.md","14天实验：独立思考训练营"
"D02_资产vs负债.md","数字资产的边际复制成本趋近于零"
"D02_资产vs负债.md","路径1（创作者路线）"
"D02_资产vs负债.md","路径2（开发者路线）"
"D02_资产vs负债.md","路径3（混合路线）"
"D03_多巴胺天平.md","晨间60分钟零刺激"
"D03_多巴胺天平.md","用姜胡说的""带着问题阅读""替代刷信息流"
"D03_多巴胺天平.md","每周一天""慢刺激日"""
"D05_认知Bug防御.md","Bug 1：确认偏误（Confirmation Bias）"
"D05_认知Bug防御.md","Bug 2：可得性启发（Availability Heuristic）"
"D05_认知Bug防御.md","Bug 3：锚定效应（Anchoring）"
"D05_认知Bug防御.md","Bug 4：框架效应（Framing Effect）"
"D05_认知Bug防御.md","Bug 5：沉没成本谬误（Sunk Cost Fallacy）"
"D05_认知Bug防御.md","Bug 6：后见之明偏见（Hindsight Bias）"
"D05_认知Bug防御.md","Bug 7：过度自信（Overconfidence）"
"D05_认知Bug防御.md","Bug 8：损失厌恶（Loss Aversion）"
"D05_认知Bug防御.md","Bug 9：从众效应（Bandwagon Effect）"
"D05_认知Bug防御.md","Bug 10：基本归因错误（Fundamental Attribution Error）"
"D05_认知Bug防御.md","Bug 11：光环效应（Halo Effect）"
"D05_认知Bug防御.md","Bug 12：自我损耗（Ego Depletion）"
"D103_饮食决策框架.md","[dbs-content五维诊断]"
"D104_昼夜节律重建.md","[dbs-content五维诊断]"
"D105_成瘾不是意志力问题.md","[dbs-content五维诊断]"
"D106_睡眠不是休息.md","[dbs-content五维诊断]"
"D107_认知目标函数.md","[dbs-content五维诊断]"
"D108_形象不是虚伪.md","[dbs-content五维诊断]"
"D109_代际错位即杠杆.md","[dbs-content五维诊断]"
"D110_多巴胺基线崩塌与修复.md","[dbs-content五维诊断]"
"D20_连续天数.md","设置""最小定义""而非""理想定义"""
"D20_连续天数.md","不连续""两天""原则"
"D21_形象杠杆.md","维度1：一致性信号。"
"D21_形象杠杆.md","维度2：群体归属信号。"
"D21_形象杠杆.md","维度3：稀缺性信号。"
"D21_形象杠杆.md","研究目标群体的视觉语言"
"D21_形象杠杆.md","X(Twitter)"
"D22_拖延的三种类型.md","延迟决策的反向应用"
"D24_反脆弱未来.md","维度1：收入反脆弱。"
"D24_反脆弱未来.md","维度2：情绪反脆弱。"
"D24_反脆弱未来.md","维度3：认知反脆弱。"
"D24_反脆弱未来.md","维度4：关系反脆弱。"
"D24_反脆弱未来.md","维度5：身份反脆弱。"
