"sample_id","sample_type","subject","path","line_or_count","decision","result","evidence"
"M01","medical-psychology","抗阻训练加重比例","04-知识/方法论/健康管理/个人健康手册.md","117","删除上下肢固定比例；限定为较早 ACSM 2%-10% 建议并补 2002/2026 PubMed","pass-qualified","https://pubmed.ncbi.nlm.nih.gov/11828249/ ; https://pubmed.ncbi.nlm.nih.gov/41843416/"
"M02","medical-psychology","训练减量 30%-50%","04-知识/方法论/健康管理/个人健康手册.md","119","删除无来源固定百分比，改为按症状降低负荷并复评","pass-removed-precision","原数字未找到可定位依据"
"M03","medical-psychology","洗手 20 秒与消毒剂 60%","04-知识/方法论/健康管理/个人健康手册.md","198","补 CDC 同段来源并增加明显污垢边界","pass-source-verified","https://www.cdc.gov/clean-hands/about/hand-sanitizer.html"
"M04","medical-psychology","UVI、防晒与补涂","04-知识/方法论/健康管理/个人健康手册.md","211","按 WHO 改写 UVI>=3、SPF>=30、每 2 小时补涂并删除无来源太阳镜百分比","pass-source-verified","https://www.who.int/news-room/questions-and-answers/item/radiation-protecting-against-skin-cancer"
"M05","medical-psychology","CALERIE DunedinPACE 2%-3%","04-知识/方法论/健康管理/健康进阶研究地图.md","78","补原始二次分析；保留未证明疾病或死亡减少的边界","pass-source-verified","https://www.nature.com/articles/s43587-022-00357-y"
"B01","business-number","F2 个人亏损与身体/账号数字","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/flagship/F2_一人企业全栈指南.md","38","整篇哈希归档，禁止把未确认资料写成真实经历","pass-archived","FALSE_BUSINESS_STORY_ARCHIVE_MAP_2026-07-18.md"
"B02","business-number","30 人社群与 91% 留存","90-归档/历史版本/content-quality-p1-20260718/05-内容生产/进行中/04-先建社群再发内容.md","9","整篇哈希归档并移出发布队列/MOC","pass-archived","FALSE_BUSINESS_STORY_ARCHIVE_MAP_2026-07-18.md"
"B03","business-number","90%/10% 杠铃配置","04-知识/卡片/C3-2_杠铃策略.md","1","缺少后台/公开数据；按 P1 台账补源、改假设或删除","reviewed-open","CONTENT_QUALITY_P1_DISPOSITION_2026-07-18.csv"
"B04","business-number","100 个付费受众、6 个月与 1 年安全垫","04-知识/卡片/C3-3_一人企业模型.md","31","缺少后台/公开数据；按 P1 台账补源、改假设或删除","reviewed-open","CONTENT_QUALITY_P1_DISPOSITION_2026-07-18.csv"
"B05","business-number","100 万与 1 万粉丝变现差 10 倍","04-知识/卡片/C4-4_注意力是第一资产.md","21","缺少后台/公开数据；按 P1 台账补源、改假设或删除","reviewed-open","CONTENT_QUALITY_P1_DISPOSITION_2026-07-18.csv"
"C01","case-identity","dontbesilent 派生章节新增原稿不存在的故事/数字","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/dontbesilent之书/chapters/07-过度总结.md","file","标记为不可追溯 AI 派生书稿并归档","pass-archived","CREATOR_DERIVATIVE_BOOK_ARCHIVE_MAP_2026-07-18.md"
"C02","case-identity","姜胡说决策章节无具体原稿定位","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/创作者书稿/姜胡说之书/chapters/05-决策.md","file","整套派生书稿归档","pass-archived","CREATOR_DERIVATIVE_BOOK_ARCHIVE_MAP_2026-07-18.md"
"C03","case-identity","健康巅峰伪生理因果场景","90-归档/历史版本/content-quality-p1-20260718/05-内容生产/进行中/健康巅峰_v3_去AI句式.md","file","E4/E5 高风险健康草稿归档","pass-archived","HEALTH_DRAFT_ARCHIVE_MAP_2026-07-18.md"
"C04","case-identity","F2 将亏5300写成真实经历","90-归档/历史版本/content-quality-p1-20260718/08-媒体与产品/媒体/flagship/F2_一人企业全栈指南.md","file","未确认第一人称事实，归档","pass-archived","FALSE_BUSINESS_STORY_ARCHIVE_MAP_2026-07-18.md"
"C05","case-identity","先建社群稿虚构经营案例","90-归档/历史版本/content-quality-p1-20260718/05-内容生产/进行中/04-先建社群再发内容.md","file","事实记录为 0，归档","pass-archived","FALSE_BUSINESS_STORY_ARCHIVE_MAP_2026-07-18.md"
"A01","archive-mapping","元能力旧汇编/复合稿","99-系统/元数据/inventory/META_ABILITIES_ARCHIVE_MAP_2026-07-18.md","3","逐文件字节与 SHA-256 复核","pass","3/3"
"A02","archive-mapping","旧主题地图","99-系统/元数据/inventory/LEGACY_THEME_MAP_ARCHIVE_MAP_2026-07-18.md","7","逐文件字节与 SHA-256 复核","pass","7/7"
"A03","archive-mapping","创作者 AI 派生书稿","99-系统/元数据/inventory/CREATOR_DERIVATIVE_BOOK_ARCHIVE_MAP_2026-07-18.md","34","逐文件字节与 SHA-256 复核","pass","34/34"
"A04","archive-mapping","高风险健康草稿","99-系统/元数据/inventory/HEALTH_DRAFT_ARCHIVE_MAP_2026-07-18.md","1","逐文件字节与 SHA-256 复核","pass","1/1"
"A05","archive-mapping","虚构经营故事稿","99-系统/元数据/inventory/FALSE_BUSINESS_STORY_ARCHIVE_MAP_2026-07-18.md","2","逐文件字节与 SHA-256 复核","pass","2/2"
"L01","link","SOURCE_OF_TRUTH","HOME.md","3","解析根路径或 .md 文件","pass","target-exists"
"L02","link","00-收件箱/README","HOME.md","9","解析根路径或 .md 文件","pass","target-exists"
"L03","link","01-项目/README","HOME.md","10","解析根路径或 .md 文件","pass","target-exists"
"L04","link","04-知识/方法论/领域标准","HOME.md","11","解析根路径或 .md 文件","pass","target-exists"
"L05","link","03-资源/README","HOME.md","12","解析根路径或 .md 文件","pass","target-exists"
"L06","link","03-资源/创作者素材/README","HOME.md","13","解析根路径或 .md 文件","pass","target-exists"
"L07","link","04-知识/README","HOME.md","14","解析根路径或 .md 文件","pass","target-exists"
"L08","link","05-内容生产/README","HOME.md","15","解析根路径或 .md 文件","pass","target-exists"
"L09","link","05-内容生产/方法论手册/README","HOME.md","16","解析根路径或 .md 文件","pass","target-exists"
"L10","link","05-内容生产/运营与发布/发布队列","HOME.md","17","解析根路径或 .md 文件","pass","target-exists"
"L11","link","05-内容生产/运营与发布/数据/README","HOME.md","18","解析根路径或 .md 文件","pass","target-exists"
"L12","link","05-内容生产/运营与发布/已发布/README","HOME.md","19","解析根路径或 .md 文件","pass","target-exists"
"L13","link","08-媒体与产品/README","HOME.md","20","解析根路径或 .md 文件","pass","target-exists"
"L14","link","08-媒体与产品/产品/个人基线/README","HOME.md","21","解析根路径或 .md 文件","pass","target-exists"
"L15","link","KNOWLEDGE_MAP","HOME.md","25","解析根路径或 .md 文件","pass","target-exists"
"L16","link","04-知识/方法论/第二大脑与内容创作闭环","HOME.md","27","解析根路径或 .md 文件","pass","target-exists"
"L17","link","99-系统/元数据/planning/KNOWLEDGE_BASE_UPGRADE_PLAN_2026-07-15","HOME.md","28","解析根路径或 .md 文件","pass","target-exists"
"L18","link","_MOC_Cards","HOME.md","29","解析根路径或 .md 文件","pass","target-exists"
"L19","link","_MOC_Content","HOME.md","30","解析根路径或 .md 文件","pass","target-exists"
"L20","link","_MOC_Flagship","HOME.md","31","解析根路径或 .md 文件","pass","target-exists"
"K01","canonical-path","SOURCE_OF_TRUTH.md","SOURCE_OF_TRUTH.md","file","文件存在且由 SOURCE_OF_TRUTH 指定","pass","exists=True;listed=True"
"K02","canonical-path","05-内容生产/方法论手册/DBS自媒体方法论学习手册_v2.1.md","05-内容生产/方法论手册/DBS自媒体方法论学习手册_v2.1.md","file","文件存在且由 SOURCE_OF_TRUTH 指定","pass","exists=True;listed=True"
