"File","Type","Links"
"2026-06-09.md","完全孤立",""
"HOME.md","有出无入","media/flagship/book-v6/FULL_MANUSCRIPT, media/flagship/book-v6/SOURCE_LEDGER, me"
"INDEX.md","完全孤立",""
"SKILL_INDEX.md","完全孤立",""
"_MOC_Cards.md","有出无入","cards/C1-1_澶氬反鑳哄熀绾垮穿濉屼笌淇, cards/C1-2_楗鍐崇瓥妗嗘灦, cards/C1-3_鏄煎鑺傚緥閲嶅缓, cards/C1"
"_MOC_Content.md","有出无入","book-decons/鎷嗕功-澶ф槑鐜嬫湞1566, book-decons/鎷嗕功-瀵岀埜鐖哥┓鐖哥埜, book-decons/鎷嗕功-灏戞湁浜鸿蛋鐨勮矾"
"_MOC_Flagship.md","有出无入","media/flagship/book-v3/CH01_meta-abilities, media/flagship/book-v3/CH02_mental-h"
".codex\skills\knowledge-base\SKILL.md","有出无入","双链"
".codex\skills\knowledge-base\assets\feishu-template.md","有出无入","关联笔记1, 关联笔记2"
".codex\skills\knowledge-base\assets\note-template.md","有出无入","控制回撤 > 多次小赢"
".codex\skills\knowledge-base\references\codewhale-sync.md","完全孤立",""
".codex\skills\knowledge-base\references\collaboration.md","完全孤立",""
".codex\skills\knowledge-base\references\file-classification.md","完全孤立",""
".codex\skills\knowledge-base\references\principles.md","完全孤立",""
".dbs\sessions\knowledge-base\r30-snapshot.md","完全孤立",""
"01_Projects\content-creation\dbs-chatroom-复利.md","完全孤立",""
"01_Projects\content-creation\GOAL_ACTION_ALIGNMENT.md","完全孤立",""
"01_Projects\content-creation\LEARNING_PATHS.md","完全孤立",""
"01_Projects\content-creation\book-decons\拆书-大明王朝1566.md","完全孤立",""
"01_Projects\content-creation\book-decons\拆书-富爸爸穷爸爸.md","完全孤立",""
"01_Projects\content-creation\book-decons\拆书-少有人走的路.md","完全孤立",""
"01_Projects\content-creation\book-decons\拆书-每周工作4小时.md","完全孤立",""
"01_Projects\content-creation\book-decons\拆书-认知觉醒.md","完全孤立",""
"01_Projects\content-creation\cognition\长文02-三重大脑与元认知.md","完全孤立",""
"01_Projects\content-creation\cognition\长文12-第一性原理思考入门.md","完全孤立",""
"01_Projects\content-creation\cognition\长文15-复利思维在生活中的迁移应用.md","完全孤立",""
"01_Projects\content-creation\cognition\长文24-元认知训练的21天计划.md","完全孤立",""
